VendorNumber,VendorName,InvoiceDate,PONumber,PODate,PayDate,Quantity,Dollars,Freight,Approval
28750,SMOKY QUARTZ DISTILLERY LLC,2/22/2016,8806,2/5/2016,3/17/2016,12,$249,1.24,None
2000,SOUTHERN WINE & SPIRITS NE ,2/19/2016,8735,2/1/2016,4/1/2016,6554,"$58,128",319.71,None
8663,STAR INDUSTRIES INC.       ,2/22/2016,8736,2/1/2016,3/28/2016,24,$394,1.97,None
653,STATE WINE & SPIRITS   ,2/22/2016,8790,2/4/2016,3/25/2016,2399,"$28,561",151.37,None
8673,STE MICHELLE WINE ESTATES  ,2/15/2016,8752,2/2/2016,3/29/2016,4804,"$35,367",173.3,None
12331,STELLAR IMPORTING CO LLC   ,2/21/2016,8753,2/2/2016,3/31/2016,33,$236,1.25,None
8664,"STOLI GROUP,(USA) LLC      ",2/16/2016,8715,1/31/2016,3/31/2016,3989,"$57,700",265.42,None
8735,SURVILLE ENTERPRISES CORP  ,2/20/2016,8716,1/31/2016,3/17/2016,53,$273,1.31,None
90056,SWEET BABY VINEYARD        ,2/16/2016,8737,2/1/2016,3/19/2016,206,"$1,707",9.39,None
172662,SWEETWATER FARM         ,2/19/2016,8754,2/2/2016,3/26/2016,10,$230,1.03,None
8920,TAKARA SAKE USA INC        ,2/17/2016,8755,2/2/2016,3/17/2016,236,"$1,045",5.75,None
28776,TALL SHIP DISTILLERY LLC   ,2/23/2016,8717,1/31/2016,3/20/2016,6,$123,0.63,None
173357,TAMWORTH DISTILLING        ,2/20/2016,8773,2/3/2016,4/3/2016,60,"$1,162",6.04,None
90017,THE IMPORTED GRAPE LLC     ,2/18/2016,8756,2/2/2016,3/29/2016,61,$417,2.05,None
90037,THE PIERPONT GROUP LLC     ,2/18/2016,8738,2/1/2016,3/31/2016,8,$115,0.54,None
9819,TREASURY WINE ESTATES      ,2/23/2016,8757,2/2/2016,4/1/2016,7176,"$45,925",215.85,None
8892,TRINCHERO FAMILY ESTATES   ,2/17/2016,8774,2/3/2016,3/18/2016,4069,"$26,389",126.67,None
9260,TY KU LLC                  ,2/22/2016,8791,2/4/2016,3/18/2016,66,$754,3.54,None
9165,ULTRA BEVERAGE COMPANY LLP ,2/17/2016,8739,2/1/2016,3/23/2016,14392,"$172,533",897.17,None
9751,VINEDREA WINES LLC         ,2/17/2016,8758,2/2/2016,4/1/2016,11,$250,1.12,None
90010,VINEXTRA INC               ,2/15/2016,8759,2/2/2016,3/18/2016,147,"$1,092",4.91,None
1587,VINEYARD BRANDS INC        ,2/22/2016,8740,2/1/2016,3/22/2016,1482,"$10,043",45.2,None
90024,VINILANDIA USA             ,2/23/2016,8775,2/3/2016,3/24/2016,692,"$6,951",33.36,None
1601,VRANKEN AMERICA            ,2/22/2016,8776,2/3/2016,3/25/2016,75,$997,4.99,None
9622,WEIN BAUER INC             ,2/15/2016,8792,2/4/2016,3/18/2016,12,$142,0.67,None
9625,WESTERN SPIRITS BEVERAGE CO,2/23/2016,8741,2/1/2016,3/25/2016,424,"$6,145",29.5,None
3664,WILLIAM GRANT & SONS INC   ,2/20/2016,8807,2/5/2016,3/29/2016,3205,"$51,189",261.06,None
9815,WINE GROUP INC             ,2/19/2016,8718,1/31/2016,3/27/2016,12163,"$76,386",412.48,None
90058,ZORVINO VINEYARDS          ,2/16/2016,8777,2/3/2016,3/18/2016,312,"$2,526",11.36,None
105,ALTAMAR BRANDS LLC         ,2/22/2016,8836,2/9/2016,3/31/2016,18,$643,3.02,None
4466,AMERICAN VINTAGE BEVERAGE  ,3/1/2016,8892,2/12/2016,3/28/2016,117,"$1,096",5.15,None
388,ATLANTIC IMPORTING COMPANY ,2/25/2016,8893,2/12/2016,3/29/2016,12,$256,1.18,None
480,BACARDI USA INC            ,3/1/2016,8877,2/11/2016,4/8/2016,15297,"$172,888",778,None
516,BANFI PRODUCTS CORP        ,2/28/2016,8860,2/10/2016,4/3/2016,3039,"$21,701",115.02,None
2396,BLACK PRINCE DISTILLERY INC,2/29/2016,8837,2/9/2016,4/7/2016,59,$532,2.71,None
1003,BRONCO WINE COMPANY        ,2/23/2016,8894,2/12/2016,4/10/2016,6,$37,0.19,None
1128,BROWN-FORMAN CORP          ,2/23/2016,8838,2/9/2016,3/25/2016,17574,"$203,551",956.69,None
1189,BULLY BOY DISTILLERS       ,3/1/2016,8878,2/11/2016,3/30/2016,36,$794,3.57,None
1273,CALEDONIA SPIRITS INC      ,2/28/2016,8895,2/12/2016,3/27/2016,63,"$1,939",9.89,None
11567,CAMPARI AMERICA            ,2/27/2016,8839,2/9/2016,4/10/2016,6641,"$56,587",311.23,None
90046,CANDIA VINEYARDS           ,2/25/2016,8840,2/9/2016,4/9/2016,32,$494,2.57,None
1485,CASTLE BRANDS CORP.        ,3/1/2016,8841,2/9/2016,3/29/2016,1290,"$20,060",102.31,None
2876,CENTEUR IMPORTS LLC        ,2/23/2016,8861,2/10/2016,4/8/2016,3,$26,0.14,None
4380,CHARLES JACQUIN ET CIE INC ,2/24/2016,8842,2/9/2016,4/4/2016,570,"$4,974",24.87,None
1650,Circa Wines                ,2/26/2016,8896,2/12/2016,3/24/2016,27,$175,0.82,None
1392,CONSTELLATION BRANDS INC   ,2/23/2016,8897,2/12/2016,4/10/2016,27441,"$167,406",770.07,None
90047,CRUSH WINES                ,3/1/2016,8843,2/9/2016,4/4/2016,385,"$3,923",20.79,None
2242,DELICATO VINEYARDS INC     ,2/25/2016,8827,2/8/2016,4/7/2016,3258,"$26,571",132.85,None
1590,DIAGEO CHATEAU ESTATE WINES,2/22/2016,8898,2/12/2016,3/29/2016,2217,"$17,091",87.16,None
3960,DIAGEO NORTH AMERICA INC   ,2/29/2016,8899,2/12/2016,3/31/2016,83623,"$693,871",3191.81,Frank Delahunt
2555,DISARONNO INTERNATIONAL LLC,2/24/2016,8808,2/7/2016,4/2/2016,2477,"$19,943",93.73,None
2450,DJINN SPIRITS LLC          ,2/24/2016,8862,2/10/2016,3/30/2016,30,$625,3.25,None
2496,DUGGANS DISTILLED PRODUCTS ,2/27/2016,8844,2/9/2016,3/30/2016,140,"$2,340",11.7,None
17037,Dunn Wine Brokers          ,2/25/2016,8809,2/7/2016,4/8/2016,95,"$1,149",5.98,None
3252,E & J GALLO WINERY         ,2/25/2016,8879,2/11/2016,4/6/2016,27341,"$186,669",989.34,None
2561,EDRINGTON AMERICAS         ,2/29/2016,8900,2/12/2016,3/31/2016,779,"$32,945",148.25,None
1655,FABRIZIA SPIRITS LLC       ,2/22/2016,8845,2/9/2016,3/27/2016,265,"$2,838",15.33,None
17031,FLAG HILL WINERY & VINEYARD,2/25/2016,8846,2/9/2016,4/2/2016,187,"$2,640",13.73,None
90011,FORTUNE WINE BROKERS LLC   ,2/29/2016,8880,2/11/2016,4/9/2016,87,$679,3.73,None
9744,FREDERICK WILDMAN & SONS   ,2/23/2016,8828,2/8/2016,4/9/2016,988,"$9,806",49.03,None
90051,FULCHINO VINEYARD INC      ,2/29/2016,8847,2/9/2016,4/2/2016,12,$121,0.57,None
3924,HEAVEN HILL DISTILLERIES   ,3/1/2016,8810,2/7/2016,3/31/2016,4936,"$43,504",226.22,None
3950,"HOOD RIVER DISTILLERS, Inc.",2/26/2016,8863,2/10/2016,4/2/2016,30,$647,3.04,None
90053,INCREDIBREW INC            ,2/23/2016,8901,2/12/2016,4/2/2016,72,$637,3.44,None
2,"IRA GOLDMAN AND WILLIAMS, LLP          ",2/22/2016,8848,2/9/2016,4/10/2016,5,$119,0.61,None
17032,JEWELL TOWNE VINEYARDS     ,3/1/2016,8902,2/12/2016,4/9/2016,107,$862,3.96,None
12546,JIM BEAM BRANDS COMPANY    ,2/22/2016,8903,2/12/2016,3/29/2016,43499,"$349,035",1814.98,Frank Delahunt
4550,KLIN SPIRITS LLC           ,2/23/2016,8881,2/11/2016,3/24/2016,66,$929,4.27,None
4692,KOBRAND CORPORATION        ,2/25/2016,8811,2/7/2016,3/26/2016,2680,"$27,524",129.36,None
90032,LABELLE VYDS AND WINERY    ,2/26/2016,8904,2/12/2016,4/5/2016,228,"$2,545",11.71,None
4848,LAIRD & CO                 ,2/29/2016,8864,2/10/2016,3/31/2016,284,"$1,638",8.19,None
4950,LATITUDE BEVERAGE COMPANY  ,2/24/2016,8829,2/8/2016,3/26/2016,596,"$3,446",15.51,None
8352,LUXCO INC                  ,2/27/2016,8812,2/7/2016,3/30/2016,5664,"$43,660",196.47,None
9552,M S WALKER INC             ,2/26/2016,8865,2/10/2016,4/1/2016,20787,"$149,414",821.78,None
10000,MAJESTIC FINE WINES        ,2/25/2016,8813,2/7/2016,4/6/2016,3053,"$25,634",115.36,None
5270,MANGO BOTTLING INC         ,2/28/2016,8814,2/7/2016,3/31/2016,26,$176,0.93,None
5455,MARSALLE COMPANY           ,2/24/2016,8849,2/9/2016,4/9/2016,132,"$3,718",17.47,None
4425,MARTIGNETTI COMPANIES ,2/23/2016,8905,2/12/2016,4/5/2016,178,"$1,976",9.09,None
4425,MARTIGNETTI COMPANIES,3/1/2016,8830,2/8/2016,3/25/2016,30193,"$322,094",1481.63,Frank Delahunt
5992,MCCORMICK DISTILLING CO    ,2/22/2016,8831,2/8/2016,4/4/2016,483,"$4,660",25.63,None
6213,MHW LTD                    ,2/26/2016,8882,2/11/2016,4/7/2016,4014,"$28,959",130.32,None
8112,MOET HENNESSY USA INC      ,2/25/2016,8832,2/8/2016,3/27/2016,4696,"$88,962",489.29,None
6215,MOONLIGHT MEADERY          ,2/23/2016,8906,2/12/2016,3/26/2016,94,$866,4.41,None
6355,NICHE W & S                ,2/29/2016,8907,2/12/2016,4/7/2016,7,$107,0.52,None
6359,OLE SMOKY DISTILLERY LLC   ,2/28/2016,8850,2/9/2016,4/5/2016,316,"$4,504",20.72,None
6785,PALM BAY INTERNATIONAL INC ,2/25/2016,8833,2/8/2016,4/4/2016,5099,"$35,717",175.02,None
10754,PERFECTA WINES             ,2/22/2016,8851,2/9/2016,3/28/2016,6201,"$60,511",278.35,None
17035,PERNOD RICARD USA          ,2/26/2016,8866,2/10/2016,4/5/2016,23045,"$345,004",1725.02,Frank Delahunt
9206,PHILLIPS PRODUCTS CO.      ,2/29/2016,8908,2/12/2016,4/2/2016,1277,"$17,133",89.09,None
7153,PINE STATE TRADING CO      ,2/23/2016,8815,2/7/2016,3/29/2016,5961,"$40,679",211.53,None
90027,POVERTY LANE ORCHARDS      ,2/22/2016,8816,2/7/2016,3/30/2016,117,$837,3.93,None
7154,PREMIER DISTRIBUTORS       ,2/22/2016,8817,2/7/2016,4/8/2016,106,"$1,536",6.91,None
7240,"PREMIUM PORT WINES, INC.   ",2/25/2016,8909,2/12/2016,3/26/2016,212,"$1,582",7.91,None
7245,PROXIMO SPIRITS INC.       ,2/28/2016,8852,2/9/2016,4/4/2016,9214,"$104,724",523.62,None
7255,PSP WINES ,2/24/2016,8834,2/8/2016,3/24/2016,213,"$2,167",10.4,None
7749,R.P.IMPORTS INC            ,2/22/2016,8910,2/12/2016,4/10/2016,96,"$3,633",17.8,None
7239,REMY COINTREAU USA INC     ,2/26/2016,8818,2/7/2016,4/4/2016,2161,"$45,295",235.53,None
10050,Russian Standard Vodka     ,2/22/2016,8819,2/7/2016,4/2/2016,777,"$1,867",8.96,None
8004,SAZERAC CO INC             ,2/27/2016,8867,2/10/2016,3/26/2016,20226,"$133,270",693,None
660,SAZERAC NORTH AMERICA INC. ,2/24/2016,8820,2/7/2016,4/10/2016,8135,"$58,145",273.28,None
17033,SEA BREEZE CELLARS LLC     ,2/26/2016,8821,2/7/2016,3/25/2016,128,"$1,281",6.15,None
8150,SEA HAGG DISTILLERY LLC    ,2/22/2016,8868,2/10/2016,3/25/2016,88,"$1,217",6.21,None
98450,Serralles Usa LLC          ,2/29/2016,8883,2/11/2016,4/6/2016,113,"$1,693",7.79,None
8320,SHAW ROSS INT L IMP LTD    ,2/27/2016,8835,2/8/2016,3/31/2016,1193,"$9,697",45.57,None
3089,SIDNEY FRANK IMPORTING CO  ,2/25/2016,8869,2/10/2016,4/5/2016,3478,"$26,553",140.73,None
90026,SILVER MOUNTAIN CIDERS     ,2/23/2016,8853,2/9/2016,3/27/2016,12,$54,0.25,None
28750,SMOKY QUARTZ DISTILLERY LLC,2/29/2016,8884,2/11/2016,3/24/2016,12,$264,1.21,None
2000,SOUTHERN WINE & SPIRITS NE ,3/1/2016,8911,2/12/2016,4/3/2016,5880,"$56,274",287,None
8663,STAR INDUSTRIES INC.       ,2/23/2016,8885,2/11/2016,3/27/2016,15,$246,1.28,None
653,STATE WINE & SPIRITS   ,2/27/2016,8886,2/11/2016,4/10/2016,2216,"$24,131",132.72,None
8673,STE MICHELLE WINE ESTATES  ,2/22/2016,8870,2/10/2016,4/5/2016,5345,"$38,375",172.69,None
12331,STELLAR IMPORTING CO LLC   ,2/25/2016,8854,2/9/2016,3/27/2016,60,$420,2.06,None
8664,"STOLI GROUP,(USA) LLC      ",2/29/2016,8871,2/10/2016,3/28/2016,2838,"$41,324",198.36,None
8735,SURVILLE ENTERPRISES CORP  ,2/25/2016,8855,2/9/2016,3/31/2016,103,$855,4.19,None
90056,SWEET BABY VINEYARD        ,2/28/2016,8872,2/10/2016,4/6/2016,226,"$1,895",8.53,None
172662,SWEETWATER FARM         ,2/23/2016,8822,2/7/2016,3/29/2016,3,$58,0.31,None
8920,TAKARA SAKE USA INC        ,2/29/2016,8823,2/7/2016,4/2/2016,187,$974,4.58,None
28776,TALL SHIP DISTILLERY LLC   ,2/28/2016,8887,2/11/2016,4/2/2016,6,$123,0.65,None
173357,TAMWORTH DISTILLING        ,3/1/2016,8873,2/10/2016,3/24/2016,11,$213,1.15,None
90017,THE IMPORTED GRAPE LLC     ,2/25/2016,8856,2/9/2016,3/24/2016,58,$348,1.57,None
90037,THE PIERPONT GROUP LLC     ,2/27/2016,8874,2/10/2016,4/2/2016,46,$566,2.83,None
9819,TREASURY WINE ESTATES      ,3/1/2016,8888,2/11/2016,4/10/2016,6688,"$40,255",201.27,None
8892,TRINCHERO FAMILY ESTATES   ,2/28/2016,8857,2/9/2016,3/26/2016,5246,"$32,985",174.82,None
9260,TY KU LLC                  ,3/1/2016,8912,2/12/2016,3/24/2016,17,$208,1.06,None
9165,ULTRA BEVERAGE COMPANY LLP ,2/28/2016,8824,2/7/2016,3/30/2016,12930,"$156,319",812.86,None
9751,VINEDREA WINES LLC         ,2/26/2016,8889,2/11/2016,3/30/2016,6,$136,0.72,None
90010,VINEXTRA INC               ,2/23/2016,8890,2/11/2016,3/30/2016,144,"$1,999",10.39,None
1587,VINEYARD BRANDS INC        ,3/1/2016,8913,2/12/2016,3/30/2016,1859,"$13,554",71.84,None
90024,VINILANDIA USA             ,2/22/2016,8875,2/10/2016,4/7/2016,891,"$8,478",42.39,None
1601,VRANKEN AMERICA            ,3/1/2016,8858,2/9/2016,3/30/2016,131,"$2,263",10.64,None
9622,WEIN BAUER INC             ,2/27/2016,8825,2/7/2016,4/10/2016,30,$572,2.58,None
9625,WESTERN SPIRITS BEVERAGE CO,2/26/2016,8826,2/7/2016,3/24/2016,200,"$3,315",16.91,None
3664,WILLIAM GRANT & SONS INC   ,2/24/2016,8859,2/9/2016,3/31/2016,4733,"$76,608",398.36,None
9815,WINE GROUP INC             ,2/23/2016,8876,2/10/2016,4/5/2016,12723,"$78,956",394.78,None
90058,ZORVINO VINEYARDS          ,2/25/2016,8891,2/11/2016,4/7/2016,92,$740,3.55,None
1703,ALISA CARR BEVERAGES           ,3/6/2016,8944,2/16/2016,4/8/2016,18,"$1,706",8.7,None
105,ALTAMAR BRANDS LLC         ,3/5/2016,8979,2/18/2016,4/15/2016,6,$214,1.11,None
4466,AMERICAN VINTAGE BEVERAGE  ,3/7/2016,8995,2/19/2016,4/2/2016,129,"$1,209",5.44,None
388,ATLANTIC IMPORTING COMPANY ,2/29/2016,8962,2/17/2016,4/8/2016,29,$618,3.34,None
480,BACARDI USA INC            ,3/6/2016,8914,2/14/2016,4/4/2016,13341,"$148,069",695.92,None
516,BANFI PRODUCTS CORP        ,3/7/2016,8996,2/19/2016,4/14/2016,2782,"$18,983",98.71,None
2396,BLACK PRINCE DISTILLERY INC,3/1/2016,8997,2/19/2016,4/3/2016,22,$154,0.82,None
1003,BRONCO WINE COMPANY        ,3/4/2016,8980,2/18/2016,4/1/2016,18,$69,0.37,None
1128,BROWN-FORMAN CORP          ,3/2/2016,8945,2/16/2016,4/11/2016,27342,"$313,178",1691.16,Frank Delahunt
1189,BULLY BOY DISTILLERS       ,3/3/2016,8946,2/16/2016,4/5/2016,5,$110,0.54,None
1273,CALEDONIA SPIRITS INC      ,3/8/2016,8923,2/15/2016,4/8/2016,78,"$2,397",11.03,None
11567,CAMPARI AMERICA            ,3/4/2016,8963,2/17/2016,4/5/2016,12995,"$135,576",677.88,None
90046,CANDIA VINEYARDS           ,3/3/2016,8924,2/15/2016,4/4/2016,57,$974,4.77,None
1485,CASTLE BRANDS CORP.        ,3/6/2016,8947,2/16/2016,4/8/2016,2166,"$34,854",188.21,None
2876,CENTEUR IMPORTS LLC        ,3/5/2016,8948,2/16/2016,4/3/2016,6,$48,0.23,None
4380,CHARLES JACQUIN ET CIE INC ,3/4/2016,8915,2/14/2016,4/3/2016,572,"$4,701",23.97,None
1650,Circa Wines                ,3/1/2016,8964,2/17/2016,4/8/2016,23,$171,0.84,None
1392,CONSTELLATION BRANDS INC   ,3/6/2016,8981,2/18/2016,4/17/2016,54005,"$351,339",1897.23,Frank Delahunt
90047,CRUSH WINES                ,3/3/2016,8982,2/18/2016,4/15/2016,263,"$2,764",15.2,None
2242,DELICATO VINEYARDS INC     ,3/5/2016,8949,2/16/2016,4/13/2016,9006,"$63,875",319.38,None
1590,DIAGEO CHATEAU ESTATE WINES,3/7/2016,8965,2/17/2016,4/10/2016,1644,"$11,665",64.16,None
3960,DIAGEO NORTH AMERICA INC   ,3/7/2016,8966,2/17/2016,4/11/2016,92377,"$834,764",4006.87,Frank Delahunt
2555,DISARONNO INTERNATIONAL LLC,3/5/2016,8998,2/19/2016,4/3/2016,2105,"$24,003",112.81,None
2450,DJINN SPIRITS LLC          ,3/1/2016,8950,2/16/2016,4/16/2016,51,"$1,114",5.68,None
2496,DUGGANS DISTILLED PRODUCTS ,3/3/2016,8925,2/15/2016,4/10/2016,163,"$2,767",13.28,None
17037,Dunn Wine Brokers          ,3/2/2016,8926,2/15/2016,4/8/2016,72,$840,4.62,None
3252,E & J GALLO WINERY         ,2/29/2016,8999,2/19/2016,4/10/2016,39725,"$269,463",1212.58,Frank Delahunt
2561,EDRINGTON AMERICAS         ,3/5/2016,8967,2/17/2016,4/14/2016,856,"$26,214",136.31,None
1655,FABRIZIA SPIRITS LLC       ,3/7/2016,8927,2/15/2016,4/8/2016,226,"$2,339",12.16,None
17031,FLAG HILL WINERY & VINEYARD,3/2/2016,8968,2/17/2016,4/8/2016,268,"$3,912",19.17,None
90011,FORTUNE WINE BROKERS LLC   ,3/7/2016,9000,2/19/2016,4/8/2016,31,$331,1.79,None
9744,FREDERICK WILDMAN & SONS   ,3/3/2016,8983,2/18/2016,4/13/2016,784,"$8,063",40.31,None
90051,FULCHINO VINEYARD INC      ,3/1/2016,8984,2/18/2016,4/8/2016,12,$121,0.59,None
3924,HEAVEN HILL DISTILLERIES   ,3/8/2016,8985,2/18/2016,4/5/2016,5482,"$45,457",218.2,None
3950,"HOOD RIVER DISTILLERS, Inc.",3/3/2016,8986,2/18/2016,4/9/2016,13,$276,1.52,None
90053,INCREDIBREW INC            ,2/29/2016,9001,2/19/2016,4/4/2016,72,$638,3,None
17032,JEWELL TOWNE VINEYARDS     ,2/29/2016,8969,2/17/2016,4/2/2016,32,$245,1.25,None
12546,JIM BEAM BRANDS COMPANY    ,3/7/2016,8928,2/15/2016,4/3/2016,48620,"$420,608",2018.92,Frank Delahunt
4550,KLIN SPIRITS LLC           ,3/5/2016,8970,2/17/2016,4/8/2016,111,"$1,562",7.81,None
4692,KOBRAND CORPORATION        ,3/8/2016,8951,2/16/2016,4/12/2016,6635,"$51,036",275.6,None
90032,LABELLE VYDS AND WINERY    ,3/2/2016,8952,2/16/2016,4/16/2016,132,"$1,418",6.8,None
4848,LAIRD & CO                 ,2/29/2016,8987,2/18/2016,4/17/2016,207,"$1,623",8.76,None
4950,LATITUDE BEVERAGE COMPANY  ,3/8/2016,8953,2/16/2016,4/1/2016,2729,"$14,874",75.86,None
8352,LUXCO INC                  ,2/29/2016,8929,2/15/2016,4/12/2016,5117,"$35,091",168.44,None
9552,M S WALKER INC             ,3/5/2016,8916,2/14/2016,4/14/2016,33229,"$203,918",1121.55,None
10000,MAJESTIC FINE WINES        ,2/29/2016,8930,2/15/2016,4/7/2016,12337,"$82,976",398.29,None
5270,MANGO BOTTLING INC         ,3/5/2016,8931,2/15/2016,4/11/2016,1,$6,0.03,None
5455,MARSALLE COMPANY           ,3/6/2016,8932,2/15/2016,4/2/2016,104,"$2,798",13.71,None
4425,MARTIGNETTI COMPANIES ,3/6/2016,8971,2/17/2016,4/4/2016,100,"$1,219",6.22,None
4425,MARTIGNETTI COMPANIES,2/29/2016,8917,2/14/2016,4/15/2016,47119,"$401,827",1808.22,Frank Delahunt
5992,MCCORMICK DISTILLING CO    ,3/7/2016,8954,2/16/2016,4/15/2016,354,"$3,151",16.7,None
6213,MHW LTD                    ,3/7/2016,8933,2/15/2016,4/1/2016,4546,"$31,106",139.98,None
8112,MOET HENNESSY USA INC      ,2/29/2016,9002,2/19/2016,4/5/2016,5365,"$108,550",510.18,None
6215,MOONLIGHT MEADERY          ,3/2/2016,8934,2/15/2016,4/9/2016,119,"$1,079",5.94,None
6355,NICHE W & S                ,3/5/2016,8988,2/18/2016,4/10/2016,13,$195,0.92,None
6359,OLE SMOKY DISTILLERY LLC   ,3/7/2016,8955,2/16/2016,4/3/2016,225,"$3,206",17.31,None
6785,PALM BAY INTERNATIONAL INC ,3/7/2016,9003,2/19/2016,4/2/2016,10026,"$69,270",332.49,None
10754,PERFECTA WINES             ,3/3/2016,8989,2/18/2016,4/10/2016,13919,"$104,300",490.21,None
17035,PERNOD RICARD USA          ,3/5/2016,8918,2/14/2016,4/1/2016,41769,"$729,783",3940.83,Frank Delahunt
9206,PHILLIPS PRODUCTS CO.      ,3/3/2016,8990,2/18/2016,4/6/2016,852,"$6,843",36.95,None
7153,PINE STATE TRADING CO      ,3/8/2016,9004,2/19/2016,4/14/2016,5596,"$38,943",190.82,None
90027,POVERTY LANE ORCHARDS      ,3/2/2016,8919,2/14/2016,4/3/2016,60,$427,2.05,None
7154,PREMIER DISTRIBUTORS       ,3/4/2016,8972,2/17/2016,4/15/2016,121,"$1,854",8.34,None
7240,"PREMIUM PORT WINES, INC.   ",3/1/2016,8991,2/18/2016,4/6/2016,126,$907,4.63,None
7245,PROXIMO SPIRITS INC.       ,3/2/2016,8956,2/16/2016,4/3/2016,16544,"$183,413",917.06,None
7255,PSP WINES ,3/1/2016,9005,2/19/2016,4/3/2016,429,"$3,732",16.79,None
7749,R.P.IMPORTS INC            ,2/29/2016,8992,2/18/2016,4/8/2016,73,"$2,365",12.53,None
7239,REMY COINTREAU USA INC     ,3/2/2016,8935,2/15/2016,4/1/2016,1840,"$39,489",209.29,None
10050,Russian Standard Vodka     ,3/4/2016,8936,2/15/2016,4/17/2016,379,"$1,645",8.72,None
8004,SAZERAC CO INC             ,3/3/2016,8937,2/15/2016,4/5/2016,22178,"$160,486",722.19,None
660,SAZERAC NORTH AMERICA INC. ,2/29/2016,8938,2/15/2016,4/17/2016,8595,"$61,540",326.16,None
17033,SEA BREEZE CELLARS LLC     ,2/29/2016,9006,2/19/2016,4/12/2016,134,"$1,294",5.95,None
8150,SEA HAGG DISTILLERY LLC    ,3/6/2016,8957,2/16/2016,4/14/2016,130,"$1,729",8.65,None
98450,Serralles Usa LLC          ,3/1/2016,9007,2/19/2016,4/17/2016,119,"$1,649",7.42,None
8320,SHAW ROSS INT L IMP LTD    ,3/1/2016,8920,2/14/2016,4/15/2016,1213,"$9,821",45.17,None
3089,SIDNEY FRANK IMPORTING CO  ,3/6/2016,8958,2/16/2016,4/13/2016,5408,"$55,292",248.82,None
90026,SILVER MOUNTAIN CIDERS     ,3/7/2016,8973,2/17/2016,4/4/2016,5,$23,0.11,None
2000,SOUTHERN WINE & SPIRITS NE ,2/29/2016,8974,2/17/2016,4/4/2016,5668,"$52,614",263.07,None
653,STATE WINE & SPIRITS   ,3/6/2016,8921,2/14/2016,4/14/2016,1807,"$17,909",94.92,None
8673,STE MICHELLE WINE ESTATES  ,2/29/2016,8939,2/15/2016,3/31/2016,9675,"$63,359",329.47,None
12331,STELLAR IMPORTING CO LLC   ,3/8/2016,9008,2/19/2016,4/15/2016,33,$236,1.06,None
8664,"STOLI GROUP,(USA) LLC      ",3/5/2016,8959,2/16/2016,4/12/2016,3317,"$50,462",232.12,None
8735,SURVILLE ENTERPRISES CORP  ,3/6/2016,8975,2/17/2016,4/5/2016,114,$822,3.7,None
90056,SWEET BABY VINEYARD        ,3/6/2016,8976,2/17/2016,4/9/2016,84,$701,3.15,None
8920,TAKARA SAKE USA INC        ,3/3/2016,8960,2/16/2016,4/5/2016,229,"$1,058",5.18,None
28776,TALL SHIP DISTILLERY LLC   ,3/8/2016,8940,2/15/2016,4/13/2016,11,$232,1.23,None
173357,TAMWORTH DISTILLING        ,3/5/2016,8941,2/15/2016,4/7/2016,35,$678,3.19,None
90017,THE IMPORTED GRAPE LLC     ,3/1/2016,8993,2/18/2016,4/2/2016,45,$237,1.31,None
9819,TREASURY WINE ESTATES      ,3/1/2016,9009,2/19/2016,4/16/2016,7508,"$47,024",239.82,None
8892,TRINCHERO FAMILY ESTATES   ,3/1/2016,9010,2/19/2016,4/3/2016,6475,"$40,115",192.55,None
9260,TY KU LLC                  ,3/5/2016,8977,2/17/2016,4/17/2016,67,$659,3.62,None
9165,ULTRA BEVERAGE COMPANY LLP ,2/29/2016,8942,2/15/2016,4/3/2016,16693,"$203,871",1039.74,None
9751,VINEDREA WINES LLC         ,2/29/2016,9011,2/19/2016,4/12/2016,12,$273,1.47,None
90010,VINEXTRA INC               ,3/4/2016,9012,2/19/2016,4/5/2016,96,"$1,106",5.53,None
1587,VINEYARD BRANDS INC        ,3/8/2016,9013,2/19/2016,4/7/2016,7066,"$37,835",174.04,None
90024,VINILANDIA USA             ,3/2/2016,8978,2/17/2016,4/6/2016,465,"$4,009",21.25,None
1601,VRANKEN AMERICA            ,3/2/2016,9014,2/19/2016,4/16/2016,98,"$1,852",9.26,None
9622,WEIN BAUER INC             ,3/2/2016,8961,2/16/2016,4/3/2016,37,$706,3.53,None
9625,WESTERN SPIRITS BEVERAGE CO,3/2/2016,9015,2/19/2016,4/10/2016,235,"$4,231",23.27,None
3664,WILLIAM GRANT & SONS INC   ,3/1/2016,8994,2/18/2016,4/16/2016,6231,"$114,517",515.33,None
9815,WINE GROUP INC             ,2/29/2016,8943,2/15/2016,4/9/2016,16576,"$97,327",457.44,None
90058,ZORVINO VINEYARDS          ,2/29/2016,8922,2/14/2016,4/4/2016,106,$887,4.7,None
105,ALTAMAR BRANDS LLC         ,3/13/2016,9016,2/21/2016,4/11/2016,6,$214,1.09,None
4466,AMERICAN VINTAGE BEVERAGE  ,3/12/2016,9033,2/22/2016,4/16/2016,147,"$1,378",6.61,None
388,ATLANTIC IMPORTING COMPANY ,3/8/2016,9095,2/26/2016,4/20/2016,54,"$1,151",6.22,None
480,BACARDI USA INC            ,3/15/2016,9062,2/24/2016,4/24/2016,12618,"$137,129",699.36,None
516,BANFI PRODUCTS CORP        ,3/14/2016,9046,2/23/2016,4/16/2016,2627,"$17,694",79.62,None
